# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Corrupted Windfury Totem III	타락한 질풍의 토템
Corruption of Loktanag	록타낙의 타락
Corruptor	타락의 마귀
Cort Barton	코트 바튼
COT Start Event Trigger	COT 시작 이벤트 트리거
Cottontail Rabbit	솜꼬리토끼
Council Spirit	평의회 영혼
Councilman Brunswick	원로원 브런스윅
Councilman Cooper	원로원 쿠퍼
Councilman Hartin	원로원 하틴
Councilman Hendricks	원로원 헨드릭스
Councilman Higarth	원로원 하이갈스
Councilman Kyleson	평의원 카일슨
Councilman Millstipe	원로 밀스타이프
Councilman Smithers	원로원 스미더스
Councilman Thatcher	원로원 대처
Councilman Wilhelm	원로원 빌헬름
Councilor Ravencrest	레이븐크레스트 의원
Councilor Vargek	고문관 바르젝
Count Femur	크아우느트 페물
Count Remington Ridgewell	백작 레밍턴 리지웰
Countess Tillia Earlwake	틸리아 얼웨이크 백작부인
Courier Hammerfall	급사 해머폴
Cow	소
Cowardly Crosby	겁쟁이 크로스비
Coyote	코요테
Coyote Packleader	우두머리 코요테
Cracked Golem	낡은 골렘
Cracked Necrotic Crystal	부서진 죽음의 수정
Cracked Skull Soldier	금이간 해골병사
Crackling Arcane Minion	크라크리응 비전 미니온
Craftsman Wilhelm	기능공 빌헬름
Crag Boar	멧돼지
Crag Coyote	바위산코요테
Crag Stalker	바위표범
Craggle Wobbletop	크래글 워블탑
Cragtusk Boar	크래그터스크 멧돼지
Craig Hewitt	크레이그 휴이트
Craig Nollward	크레이크 놀워드
Crane Operator Bigglefuzz	기중기 기사 비글퍼즈
Craneoperator Bizzrocket	크레인 운전사 비즈로켓
Crank Fizzlebub	크랭크 피즐버브
Cranky Benj	심술쟁이 밴즈
Crashing Tide	크라시이응 티데
Craven Drok	크라벤 드록
Crawler	게
Crazed Ancient	광기 어린 고대정령
Crazed Owlbeast	광기 어린 올빼미야수
Crazk Sparks	크라즈크 스팍스
Creeping Doom	파멸충
Creeping Sludge	끈적거리는 녹괴물
Creepthess	땅거미
Crest Killer	가문의 암살자
Cresting Exile	떠도는 물의 정령
Crier Goodman	포고꾼 굿맨
Crier Sternhand	크르이르 스텔느한드
Crildor	크릴도르
Crimson	크림슨
Crimson Battle Mage	진홍십자군 전투마법사
Crimson Bodyguard	진홍십자군 경호원
Crimson Cannon	진홍십자군 대포
Crimson Conjuror	진홍십자군 요술사
Crimson Courier	진홍십자군 급사
Crimson Defender	진홍십자군 파수병
Crimson Elite	진홍십자군 정예병
Crimson Friar Freidhelm	진홍빛 프리알 프르에이드헬므
Crimson Gallant	진홍십자군 수행원
Crimson Guard	붉은 기사단
Crimson Guard Olbreg	진홍빛 경비병 올브렉
Crimson Guardsman	진홍십자군 보초
Crimson Hammersmith	진홍십자군 대장장이
Crimson Hawkstrider	크림슨 호크스트라이더
Crimson Initiate	진홍십자군 신입회원
Crimson Inquisitor	진홍십자군 종교재판관
Crimson Lynx	크림슨 링스
Crimson Monk	진홍십자군 수도사
Crimson Ooze	붉은 수액괴물
Crimson Priest	진홍십자군 사제
Crimson Rifleman	진홍십자군 소총병
Crimson Sabercat Cub	진홍빛 사벨캇 새끼
Crimson Slug	진홍빛 민달팽이
Crimson Snake	붉은뱀
Crimson Sorcerer	진홍십자군 사술사
Crimson Spectral Tiger	진홍빛 유령 호랑이
Crimson Templar	진홍 기사단
Crimson Vulpen	진홍빛 불페라
Crimson Whelp	심홍색 새끼용
Crimson Whelpling	작은 붉은 새끼용
Critically Injured Alliance Soldier	위독한 얼라이언스 부상병
Critically Injured Soldier	위독한 부상병
Crowd Pummeler 9-60	고철 압축기 9-60
Crowley Jr.	크롤리 주니어
Crown Guard Horde Capture Quest Doodad	산마루 경비탑 호드 점령 퀘스트
Crumbling Exile	무너져가는 에키레
Crumbling Protector	무너져가는 수호자
Crumbling Stone Golem	무너져가는 돌 골렘
Crusader Larsarius	십자군 라르사리우스
Crusader Lord Valdelmar	십자군군주 발델마르
Crushridge Brute	산사태 투사
Crushridge Enforcer	산사태 집행자
Crushridge Mage	산사태 마법사
Crushridge Mauler	산사태 싸움꾼
Crushridge Ogre	산사태 오우거
Crushridge Plunderer	산사태 약탈자
Crushridge Warmonger	산사태 전사
Crypt Beast	흉포한 지하마귀
Crypt Crawler	갈퀴발 지하마귀
Crypt Fearfeaster	크립트 피어피스터
Crypt Fiend	지하추적자
Crypt Guard	지하마귀 수호병
Crypt Horror	공포의 지하마귀
Crypt Reaver	칼날발톱 지하마귀
Crypt Robber	납골당 도굴꾼
Crypt Scarab	지하쇠똥구리
Crypt Slayer	학살자 지하마귀
Crypt Walker	거미턱 지하마귀
Crypt Watcher	크립트 워처
Crystal Affinity	수정 친화
Crystal Boughman	크리스탈 바우맨
Crystal Fang	수정 맹독거미
Crystal Spine Basilisk	수정가시바실리스크
Crystal Trigger	수정 방아쇠
Crystalmaw	크릿탈므오
Cultist Engineer	신도 기술자
Curator Fizwhizzle	큐레이터 피즈위즐
Curator Thorius	도서관장 소리우스
Cured Deer	회복된 사슴
Cured Gazelle	회복된 가젤
Curgle Cranklehop	커글 크랭크홉
Curse of the Eye (Female)	눈의 저주 (여성)
Curse of the Eye (Male)	눈의 저주 (남성)
Cursed Atal'ai	저주받은 아탈라이트롤
Cursed Blades	저주받은 칼날
Cursed Centaur	저주받은 켄타우로스
Cursed Darkhound	저주받은 암흑사냥개
Cursed Highborne	저주받은 명가의 원혼
Cursed Justicar	저주받은 사법관
Cursed Mage	저주받은 마법사
Cursed Marine	저주받은 해병
Cursed Ooze	저주받은 수액괴물
Cursed Paladin	저주받은 성기사
Cursed Sailor	저주받은 선원
Cursed Sycamore	저주받은 시카모어
Custodian A-01	관리인 A-01
Custodian Abellas	관리인 아벨랏
Custodian Lambert	관리인 람벨트
Custodian Mathias	관리인 마티아스
Cutac	쿠탁
Cute	큐트
Cutpurse Warren	쿳풀세 알렌
Cyclok the Mad	미치광이 사이클록
Cyclone Warrior	소용돌이 전사
Cyclonian	사이클로니안
Cydas Moonshadow	시다스 문섀도우
Cylania	키라니아
Cylania Rootstalker	사일라니아 루트스토커
Cylina Darkheart	실리나 다크하트
Cyndra Kindwhisper	신드라 카인드위스퍼
Cynthessa Grimblood	킨스엣사 그림브르우드
Cyridan	키리단
Cyroen	키로엔
Cyrus Therepentous	키루스 테레펜터스
D.L.U. Rocket	D. L. 우. 로켓
D.L.U. Zeppelin	D. L. 우. 비행선
Dabyrie Laborer	다비리 일꾼
Dabyrie Militia	다비리 민병대원
Dadanga	다단가
Daela Evermoon	다엘라 에버문
Daelyshia	데일리시아
Daemar Swiftstrike	다에마르 스위프트스트라이크
Daemona Des	데모나 데스
Daeolyn Summerleaf	대올린 서머리프
Daera Brightspear	데라 브라이트스피어
Daffar	다파르
Dag'grak Bloodfist	다그락 블러드피스트
Dagar the Glutton	다갈 그룻톤
Dagdag Mossbelt	다그다그 모스벨트
Dagesh the Evoker	기원사 다게시
Daggerspine Marauder	비수가시 약탈자
Daggerspine Raider	비수가시 침략자
Daggerspine Screamer	비수가시 비명술사
Daggerspine Shorehunter	비수가시 바다사냥꾼
Daggerspine Shorestalker	비수가시 바다추적자
Daggerspine Siren	비수가시 세이렌
Daggerspine Sorceress	비수가시 여마법사
Dagred Flintbeard	닥렏 프린트브이르드
Dagri	다그리
Dagun the Ravenous	포악한 다군
Dahne Pierce	다니 피어스
Daio the Decrepit	노쇠한 다이오
Daisy	데이지
Daisy Windhelm	데이지 윈드헬름
Dakikon	다키콘
Dakk Blunderblast	다크 블런더블라스트
Dal Bloodclaw	달 블러드클로
Dalanas Swiftfeather	달라나스 스위프트페더
Dalar Dawnweaver	달라 돈위버
Dalaran Apprentice	달라란 수습마법사
Dalaran Brewmaster	달라란 양조장이
Dalaran Charger	달라란 군마
Dalaran Cloud Familiar	달라란 구름 패밀리어
Dalaran Conjuror	달라란 요술사
Dalaran Mage	달라란 마법사
Dalaran Magi	달라란 마법사
Dalaran Miner	달라란 광부
Dalaran Protector	달라란 수호병
Dalaran Serpent	달라란 독사
Dalaran Shield Guard	달라란 수호기사
Dalaran Spellscribe	달라란 역술사
Dalaran Summoner	달라란 소환사
Dalaran Theurgist	달라란 사술사
Dalaran Warder	달라란 보초병
Dalaran Watcher	달라란 파수꾼
Dalaran Wizard	달라란 마술사
Dalaran Worker	달라란 일꾼
Dali Spinflux	달리 스핀플럭스
Dalicia Sweetsilver	달리시아 스위트실버
Dalin Forgewright	달린 포지라이트
Dalin Forgewright Projection	달린 포지라이트의 환영
Dalinda Malem	달린다 말렘
Dalmond	달몬드
Dalria	달리아
Damaged Necrotic Shard	손상된 죽음의 결정
Dame Twinbraid	남작부인 트윈브레이드
Damian	다미안
Damilara Sunsorrow	다밀라라 선소로우
Damion Steelborn	데미온 스틸본
Damned Soul	저주받은 유령
Dan Golthas	단 골다스
Dana	다나
Dandegg Shortbelly	단덱그 시올트벨리
Dane Lindgren	데인 린드그렌
Dane Winslow	데인 윈슬로
Daniel	대니얼
Daniel Bartlett	다니엘 바틀릿
Daniel Ulfman	다니엘 울프만
Danielle Zipstitch	다니엘 집스티치
Dank Drizzlecut	당크 드리즐컷
Danlaar Nightstride	단라르 나이트스트라이드
Danlyia	단리아
Dannal Stern	다날 스턴
Dannelor	단넬로르
Dannie Fizzwizzle	대니 피즈위즐
Danthar Oakmantle	단타르 오크맨틀
Daphne Stilwell	대프니 스틸웰
Dar	다르
Darbel Montrose	다벨 몬트로즈
Darcy	달시
Darg	달그
Dargh Trueaim	다그 트루에임
Dargon	다르곤
Darian Singh	다리안 싱그
Darianna	다리안나
Dark Adept	암흑의 수행사제
Dark Bishop Mordren	어둠의 사제 몰드렌
Dark Brown Riding Bear	어둠 갈색 탑승용 곰
Dark Caster	암흑의 마술사
Dark Cleric Beryl	어둠의 사제 베릴
Dark Cleric Duesten	어둠의 사제 듀스텐
Dark Guard	암흑의 경비병
Dark Iron Agent	검은무쇠 첩보원
Dark Iron Ambassador	검은무쇠 사절
Dark Iron Ambusher	검은무쇠 복병
Dark Iron Bombardier	검은무쇠 폭격수
Dark Iron Demolisher	검은무쇠 데모리시엘
Dark Iron Demolitionist	검은무쇠 폭파병
Dark Iron Dwarf	검은무쇠 드워프
Dark Iron Entrepreneur	검은무쇠 중개업자
Dark Iron Firecaller	검은무쇠 피레칼렐
Dark Iron Geologist	검은무쇠 지질학자
Dark Iron Golem	검은무쇠 골렘
Dark Iron Insurgent	검은무쇠 폭도
Dark Iron Kidnapper	검은무쇠 납치범
Dark Iron Land Mine	검은무쇠 지뢰
Dark Iron Lookout	검은무쇠 망꾼
Dark Iron Marksman	검은무쇠 명사수
Dark Iron Raider	검은무쇠 약탈자
Dark Iron Rifleman	검은무쇠 소총병
Dark Iron Saboteur	검은무쇠 투사
Dark Iron Sapper	검은무쇠 공병
Dark Iron Scorpid	검은무쇠 전갈
Dark Iron Sentry	검은무쇠 경비병
Dark Iron Shadowcaster	검은무쇠 흑마술사
Dark Iron Slave Driver	검은무쇠 노예 드리벨
Dark Iron Slaver	검은무쇠 노예상인
Dark Iron Spy	검은무쇠 비밀요원
Dark Iron Steamsmith	검은무쇠 증기기술자
Dark Iron Steelshifter	검은무쇠 대장장이
Dark Iron Supervisor	검은무쇠 수펠비솔
Dark Iron Supplier	검은무쇠 보급병
Dark Iron Surveillance Bot	검은무쇠 술브에이르란케 봇
Dark Iron Taskmaster	검은무쇠 감독관
Dark Iron Tunneler	검은무쇠 채굴꾼
Dark Iron Watchman	검은무쇠 보초
Dark Keeper Bethek	암흑의 문지기 베테크
Dark Keeper Ofgut	암흑의 문지기 오프구트
Dark Keeper Pelver	암흑의 문지기 펠베르
Dark Keeper Uggel	암흑의 문지기 우그젤
Dark Keeper Vorfalk	암흑의 문지기 보르폴크
Dark Keeper Zimrel	암흑의 문지기 짐렐
Dark Ranger Anya	어둠의 순찰자 안냐
Dark Ranger Lanissa	어둠 순찰자 라니사
Dark Reaver of Karazhan	카라잔의 어둠의 약탈자
Dark Rider	암흑 기수
Dark Rider Apprentice	어둠의 기사 수습생
Dark Rider Champion	어둠의 기사 영웅
Dark Rider's Steed [Deprecated]	암흑 기수의 군마 [사용 중단됨]
Dark Riding Crab	어둠 탑승용 게
Dark Riding Hound	어둠 탑승용 사냥개
Dark Screecher	검은비명박쥐
Dark Shade	암흑의 망령
Dark Spirit of Loresh	로레쉬의 어둠의 영혼
Dark Sprite	암흑의 마귀
Dark Strand Adept	암흑이교도 마법사
Dark Strand Assassin	암흑이교도 암살자
Dark Strand Cultist	암흑이교도 제사장
Dark Strand Enforcer	암흑이교도 집행자
Dark Strand Excavator	암흑이교도 굴착자
Dark Strand Fanatic	암흑이교도 광신자
Dark Strand Voidcaller	암흑이교도 소환사
Dark Summoner	암흑의 소환사
Dark Touched Warrior	어둠을 영접한 전사
Dark Whelpling	작은 암흑 새끼용의 알
Dark Wind Serpent	어둠 바람 뱀
Darkcaller Rayn	암흑소환사 레인
Darkcaller Yanka	암흑의 소환사 얀카
Darkeye Bonecaster	검은눈 해골마법사
Darkfang Creeper	검은송곳니 땅거미
Darkfang Lurker	검은송곳니 늑대거미
Darkfang Spider	검은송곳니 거미
Darkfang Venomspitter	검은송곳니 독거미
Darkflame Imp	달크프라메 임프
Darkmaster Gandling	암흑스승 간들링
Darkmaster Haza'gi	암흑대가 하자기
Darkmist Hatchling	달크밋트 새끼
Darkmist Lurker	새끼 암흑안개거미
Darkmist Recluse	암흑안개 그늘거미
Darkmist Silkspinner	암흑안개 비단거미
Darkmist Spider	암흑안개거미
Darkmist Widow	암흑안개 과부거미
Darkmoon Dancing Bear	다크문 댄싱 베어
Darkmoon Faire Carnie	다크문 유랑단 일꾼
Darkmoon Steam Tonk	다크문 증기 전차
Darkpelt Alpha	다크펠트 우두머리
Darkpelt Rager	다크펠트 광전사
Darkpelt Shadowcaster	다크펠트 암흑술사
Darkpelt Worgen	다크펠트 워겐
Darkreaver's Fallen Charger	다크리버 군마의 영혼
Darksaber	다크세이버
Darkseer Geshtol	어둠선견자 게스톨
Darkshore Thresher	어둠해안 트레샤돈
Darkslayer Mordenthal	어둠의암살자 몰덴살
Darkspear Commendation Officer	검은창 인사장교
Darkspear Shaman	검은창 주술사
Darkwater Python	다크워터 파이톤
Darla Harris	달라 해리스
Darlen Darkgrin	달렌 다크그린
Darn Talongrip	다른 탈론그립
Darnall	다르날
Darnassian Protector	나이트 엘프 수호정령
Darnassus Commendation Officer	다르나서스 인사장교
Darnassus Firebreather	다르나서스 불꽃마술사
Darnassus Reveler	다르나서스 구경꾼
Darnassus Sentinel	다르나서스 파수꾼
Darnassus Volunteer	다르나서스 지원병
Darnath Bladesinger	다나스 블레이드싱어
Darneg Darkbeard	다르네그 다크비어드
Daron Truthkeeper	진실 수호자 다론
Darrak Redbrand	다락 레드브랜드
Darren Jones	대런 존스
Darren Malvew	다렌 말뷰
Darren Mistwall	대런 미스트월
Darrow Shademore	대로우 셰이드무어
Darrowshire Betrayer	다로우샤이어 배반자
Darrowshire Defender	다로우샤이어 파수병
Darrowshire Poltergeist	다로우샤이어 유령
Darrowshire Spirit	다로우샤이어 영혼
Darsok Swiftdagger	달소크 스위프트대거
Dart	바람뿔
Dart Frog	황소개구리
Darwin Holdfall	다윈 홀드폴
Daryl Riknussun	다릴 리크너선
Daryl Stack	다릴 스택
Daryl the Youngling	풋내기 다릴
Daryn Lightwind	다린 라이트윈드
Dashel Stonefist	다셸 스톤피스트
Daughter of Cenarius	세나리우스의 딸
Dave "Ozy" Norton	데이브 "오지" 노턴
David Langston	데이비드 랭스턴
David Trias	데이비드 트리아스
Davil Crokford	다빌 크록포드
Davil Lightfire	다빌 라이트파이어
Davitt Hickson	다비트 힉슨
Dawn Brightstar	돈 브라이트스타
Dawnhowl	던하울
Dawnwatcher Selgorm	새벽감시자 셀고름
Dawnwatcher Shaedlass	새벽감시자 섀드라스
Daxx Rightblast	닥스 라이트블래스트
Dazalar	다잘라
Dazlon Brassdigger	다즐론 브래스디거
Dazzle Luckycatch	눈부신 행운의 사냥
Dead-Tooth Jack	썩은니 잭
Deadly Cleft Scorpid	맹독그늘전갈
Deadmire	붉은눈늪지악어
Deadwind Brute	죽음의고개 투사
Deadwind Mauler	죽음의고개 싸움꾼
Deadwind Ogre Mage	죽음의고개 오우거마법사
Deadwind Warlock	죽음의고개 흑마법사
Deadwood Avenger	마른가지 복수자
Deadwood Den Watcher	마른가지 보초
Deadwood Envoy	마른가지일족 사절
Deadwood Gardener	마른가지 정원사
Deadwood Pathfinder	마른가지 길잡이
Deadwood Shaman	마른가지 주술사
Deadwood Warrior	마른가지 전사
Dean LeGuin	딘 르귄
Death Cultist	죽음의 이교도
Death Flayer	맹독무당전갈
Death Howl	검은울음
Death Knight Darkreaver	죽음의 기사 다크리버
Death Lash	죽음의 덩굴손
Death Lord	죽음의 군주
Death Prophet Rakameg	죽음 예언자 라카멕
Death Singer	죽음의 밴시
Death Speaker Jargba	죽음예언자 잘그바
Death Talon Captain	죽음의발톱 부대장
Death Talon Dragonspawn	죽음의발톱 용혈족
Death Talon Flamescale	죽음의발톱 화염전사
Death Talon Hatcher	죽음의발톱 알지기
Death Talon Overseer	죽음의발톱 감독관
Death Talon Seether	죽음의발톱 정예병
Death Talon Wyrmguard	죽음의발톱 고룡수호병
Death Talon Wyrmkin	죽음의발톱 고룡족
Death Touched Warrior	죽음을 영접한 전사
Death's Head Acolyte	죽음의 머리교 수행사제
Death's Head Adept	죽음의 머리교 상급마술사
Death's Head Battleguard	죽음의 머리 밧트레구알드
Death's Head Geomancer	죽음의 머리교 흙점쟁이
Death's Head Necromancer	죽음의 머리교 강령술사
